Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['if', 'not', 'later', ',', 'when', '?', '🍑']",1,Joy,NOUN
"['🔗', '|', 'the', 'izombie', '4x08', 'page', 'is', 'now', 'up', '!', 'containing', 'trivia', ',', 'quotes', ',', 'reviews', ',', 'a', 'look', 'at', ""liv's"", 'style', ',', 'comic', 'slides', 'gifs', ',', 'the', 'b', '…']",0,Surprise,NOUN
"['hearing', 'bts', 'at', 'work', 'still', 'amazes', 'me', '😍']",1,Love,VERB
"['ayyy', 'this', 'is', 'lit', '🔥']",1,Joy,ADJ
"['well', 'richard', 'i', 'jumped', 'in', 'the', 'shower', 'and', 'saved', 'her', 'so', 'back', 'off', '😡']",-1,Anger,ADJ
"[""don't"", 'worry', 'benny', 'was', 'equally', 'unimpressed', 'with', 'how', 'i', 'handled', 'the', 'news', '🙄']",-1,Disgust,ADJ
"['it', 'be', 'so', 'funny', 'when', 'the', 'same', 'niggas', 'be', 'in', 'you', 'and', 'yo', 'friends', 'dm', '😭', 'like', 'boy', 'just', 'how', ""y'all"", 'sit', 'and', 'talk', 'about', 'hoes', 'we', 'tal', '…']",-1,Sadness,VERB
"['dead', 'lost', 'blind', 'and', 'deaf', 'pagans', 'all', 'have', 'some', 'form', 'of', '-', 'luck', 'gods', '🤢', '""']",-1,Disgust,ADJ
"['jimin', 'chimmy', '😍']",1,Love,PROPN
"['oh', 'god', 'i', 'have', 'work', 'tmr', 'morning', '😭']",-1,Sadness,VERB
"['i', 'liked', 'a', 'video', 'david.and.goliath', '.', '2016', 'full', 'film', 'hd', '♥', 'rodger', 'halston', ',', 'matt', 'berberi', ',', 'wallace']",1,Love,NOUN
"['nigga', 'i', 'just', 'wanna', 'see', 'ya', 'art', 'why', 'you', 'gotta', 'block', 'me', '😭']",-1,Sadness,VERB
"['ten', 'talent', '🐊']",0,Surprise,NOUN
"['hope', 'your', 'day', 'is', 'beautiful', 'and', 'special', 'like', 'you', '.', 'happy', 'birthday', 'enjoy', 'your', 'day', '!', '😘']",1,Love,VERB
"['handsome', 'liam', '😍']",1,Love,ADJ
"['so', 'glad', 'i', 'seen', 'you', 'two', 'last', 'night', '💕']",1,Love,NOUN
"['go', 'listen', 'to', 'this', '!', '!', '🔥', '.']",1,Joy,NOUN
"['something', 'about', 'emma', '👎', 'the', 'hair']",-1,Disgust,ADJ
"['fist', 'to', 'my', 'face', 'because', 'taking', 'severe', 'acne', 'medication', 'for', 'the', 'third', 'time', '👅']",-1,Disgust,NOUN
"['😭', 'i', 'adore', 'you', 'thank', 'you', 'lexi']",-1,Sadness,ADJ
"['thank', 'you', 'at', 'sorry', 'sa', 'lahat', '🙂']",1,Joy,ADJ
"[""i'm"", 'always', 'here', 'for', 'you', 'no', 'matter', 'what', '💕']",1,Love,ADJ
"['i', 'swear', '.', ""y'all"", 'shoes', 'be', 'too', 'expensive', '😫']",-1,Sadness,ADJ
"['bea', 'cheer', 'up', '!', 'we', 'all', 'need', 'u', '!', 'seeing', 'u', 'worried', 'and', 'not', 'enjoying', 'the', 'game', 'mygheeeed', '😭']",-1,Sadness,VERB
"['ask', 'me', '.', 'i', 'am', 'doing', 'nothing', 'since', 'a', 'month', '.', '😂']",1,Joy,VERB
